State,District,Crop,Year,Season,Area,Area Units,Production,Production Units,Yield
Andhra Pradesh,KRISHNA,Dry chillies,2002-03,Kharif,12584,Hectare,31573,Tonnes,2.508979657
Andhra Pradesh,KRISHNA,Dry chillies,2002-03,Rabi,1000,Hectare,1663,Tonnes,1.663
Andhra Pradesh,KRISHNA,Dry chillies,2003-04,Kharif,11962,Hectare,36939,Tonnes,3.088028758
Andhra Pradesh,KRISHNA,Dry chillies,2003-04,Rabi,1365,Hectare,2882,Tonnes,2.111355311
Andhra Pradesh,KURNOOL,Dry chillies,2001-02,Kharif,14427,Hectare,19202,Tonnes,1.330976641
Andhra Pradesh,KURNOOL,Dry chillies,2001-02,Rabi,557,Hectare,868,Tonnes,1.558348294
Andhra Pradesh,KURNOOL,Dry chillies,2002-03,Kharif,10201,Hectare,13598,Tonnes,1.333006568
Andhra Pradesh,KURNOOL,Dry chillies,2002-03,Rabi,792,Hectare,1532,Tonnes,1.934343434
Andhra Pradesh,KURNOOL,Dry chillies,2003-04,Kharif,11597,Hectare,25026,Tonnes,2.157971889
Andhra Pradesh,KURNOOL,Dry chillies,2003-04,Rabi,932,Hectare,1947,Tonnes,2.089055794
Andhra Pradesh,MAHBUBNAGAR,Dry chillies,2001-02,Kharif,8942,Hectare,7538,Tonnes,0.842988146
Andhra Pradesh,MAHBUBNAGAR,Dry chillies,2001-02,Rabi,1981,Hectare,5458,Tonnes,2.755174154
Andhra Pradesh,MAHBUBNAGAR,Dry chillies,2002-03,Kharif,9076,Hectare,10174,Tonnes,1.120978405
Andhra Pradesh,MAHBUBNAGAR,Dry chillies,2002-03,Rabi,2057,Hectare,5114,Tonnes,2.486144871
Andhra Pradesh,MAHBUBNAGAR,Dry chillies,2003-04,Kharif,8097,Hectare,24251,Tonnes,2.995059899
Andhra Pradesh,MAHBUBNAGAR,Dry chillies,2003-04,Rabi,2117,Hectare,6908,Tonnes,3.263108172
Andhra Pradesh,MEDAK,Dry chillies,2001-02,Kharif,6037,Hectare,5035,Tonnes,0.834023522
Andhra Pradesh,MEDAK,Dry chillies,2001-02,Rabi,1749,Hectare,4818,Tonnes,2.754716981
Andhra Pradesh,MEDAK,Dry chillies,2002-03,Kharif,4948,Hectare,4354,Tonnes,0.879951496
Andhra Pradesh,MEDAK,Dry chillies,2002-03,Rabi,2505,Hectare,6227,Tonnes,2.485828343
Andhra Pradesh,MEDAK,Dry chillies,2003-04,Kharif,6395,Hectare,9381,Tonnes,1.466927287
Andhra Pradesh,MEDAK,Dry chillies,2003-04,Rabi,1739,Hectare,5674,Tonnes,3.26279471
Andhra Pradesh,NALGONDA,Dry chillies,2001-02,Kharif,7460,Hectare,20731,Tonnes,2.778954424
Andhra Pradesh,NALGONDA,Dry chillies,2001-02,Rabi,845,Hectare,2328,Tonnes,2.755029586
Andhra Pradesh,NALGONDA,Dry chillies,2002-03,Kharif,7376,Hectare,5451,Tonnes,0.739018438
Andhra Pradesh,NALGONDA,Dry chillies,2002-03,Rabi,1342,Hectare,3336,Tonnes,2.485842027
Andhra Pradesh,NALGONDA,Dry chillies,2003-04,Kharif,7007,Hectare,17742,Tonnes,2.532039389
Andhra Pradesh,NALGONDA,Dry chillies,2003-04,Rabi,2128,Hectare,6944,Tonnes,3.263157895
Andhra Pradesh,NIZAMABAD,Dry chillies,2001-02,Kharif,1528,Hectare,3279,Tonnes,2.145942408
Andhra Pradesh,NIZAMABAD,Dry chillies,2001-02,Rabi,1120,Hectare,3086,Tonnes,2.755357143
Andhra Pradesh,NIZAMABAD,Dry chillies,2002-03,Kharif,1664,Hectare,2601,Tonnes,1.563100962
Andhra Pradesh,NIZAMABAD,Dry chillies,2002-03,Rabi,995,Hectare,2474,Tonnes,2.486432161
Andhra Pradesh,NIZAMABAD,Dry chillies,2003-04,Kharif,1861,Hectare,4241,Tonnes,2.278882321
Andhra Pradesh,NIZAMABAD,Dry chillies,2003-04,Rabi,1017,Hectare,3318,Tonnes,3.262536873
Andhra Pradesh,PRAKASAM,Dry chillies,2001-02,Kharif,14347,Hectare,33400,Tonnes,2.328012825
Andhra Pradesh,PRAKASAM,Dry chillies,2001-02,Rabi,3920,Hectare,9776,Tonnes,2.493877551
Andhra Pradesh,PRAKASAM,Dry chillies,2002-03,Kharif,11789,Hectare,13805,Tonnes,1.171006871
Andhra Pradesh,PRAKASAM,Dry chillies,2002-03,Rabi,4474,Hectare,6899,Tonnes,1.542020563
Andhra Pradesh,PRAKASAM,Dry chillies,2003-04,Kharif,14050,Hectare,35027,Tonnes,2.493024911
Andhra Pradesh,PRAKASAM,Dry chillies,2003-04,Rabi,4391,Hectare,10574,Tonnes,2.408107493
Andhra Pradesh,RANGAREDDI,Dry chillies,2001-02,Kharif,2163,Hectare,4642,Tonnes,2.146093389
Andhra Pradesh,RANGAREDDI,Dry chillies,2001-02,Rabi,813,Hectare,2240,Tonnes,2.755227552
Andhra Pradesh,RANGAREDDI,Dry chillies,2002-03,Kharif,1903,Hectare,2974,Tonnes,1.562795586
Andhra Pradesh,RANGAREDDI,Dry chillies,2002-03,Rabi,820,Hectare,2039,Tonnes,2.486585366
Andhra Pradesh,RANGAREDDI,Dry chillies,2003-04,Kharif,1613,Hectare,3676,Tonnes,2.278983261
Andhra Pradesh,RANGAREDDI,Dry chillies,2003-04,Rabi,605,Hectare,1974,Tonnes,3.262809917
Andhra Pradesh,SPSR NELLORE,Dry chillies,2001-02,Kharif,55,Hectare,199,Tonnes,3.618181818
Andhra Pradesh,SPSR NELLORE,Dry chillies,2001-02,Rabi,1941,Hectare,5868,Tonnes,3.023183926
Andhra Pradesh,SPSR NELLORE,Dry chillies,2002-03,Kharif,55,Hectare,109,Tonnes,1.981818182
Andhra Pradesh,SPSR NELLORE,Dry chillies,2002-03,Rabi,2779,Hectare,7514,Tonnes,2.703850306
Andhra Pradesh,SPSR NELLORE,Dry chillies,2003-04,Kharif,229,Hectare,1009,Tonnes,4.406113537
Andhra Pradesh,SPSR NELLORE,Dry chillies,2003-04,Rabi,3576,Hectare,9537,Tonnes,2.666946309
Andhra Pradesh,SRIKAKULAM,Dry chillies,2001-02,Kharif,12,Hectare,43,Tonnes,3.583333333
Andhra Pradesh,SRIKAKULAM,Dry chillies,2001-02,Rabi,2840,Hectare,7659,Tonnes,2.696830986
Andhra Pradesh,SRIKAKULAM,Dry chillies,2002-03,Kharif,15,Hectare,30,Tonnes,2
Andhra Pradesh,SRIKAKULAM,Dry chillies,2002-03,Rabi,2152,Hectare,4229,Tonnes,1.965148699
Andhra Pradesh,SRIKAKULAM,Dry chillies,2003-04,Kharif,45,Hectare,198,Tonnes,4.4
Andhra Pradesh,SRIKAKULAM,Dry chillies,2003-04,Rabi,2615,Hectare,9116,Tonnes,3.486042065
Andhra Pradesh,VISAKHAPATANAM,Dry chillies,2001-02,Kharif,918,Hectare,3324,Tonnes,3.620915033
Andhra Pradesh,VISAKHAPATANAM,Dry chillies,2001-02,Rabi,3754,Hectare,5147,Tonnes,1.371070858
Andhra Pradesh,VISAKHAPATANAM,Dry chillies,2002-03,Kharif,908,Hectare,1793,Tonnes,1.974669604
Andhra Pradesh,VISAKHAPATANAM,Dry chillies,2002-03,Rabi,2322,Hectare,2903,Tonnes,1.250215332
Andhra Pradesh,VISAKHAPATANAM,Dry chillies,2003-04,Kharif,871,Hectare,3838,Tonnes,4.406429392
Andhra Pradesh,VISAKHAPATANAM,Dry chillies,2003-04,Rabi,3047,Hectare,4674,Tonnes,1.533967837
Andhra Pradesh,VIZIANAGARAM,Dry chillies,2001-02,Kharif,228,Hectare,826,Tonnes,3.622807018
Andhra Pradesh,VIZIANAGARAM,Dry chillies,2001-02,Rabi,2341,Hectare,3722,Tonnes,1.589918838
Andhra Pradesh,VIZIANAGARAM,Dry chillies,2002-03,Kharif,300,Hectare,593,Tonnes,1.976666667
Andhra Pradesh,VIZIANAGARAM,Dry chillies,2002-03,Rabi,2027,Hectare,2461,Tonnes,1.214109521
Andhra Pradesh,VIZIANAGARAM,Dry chillies,2003-04,Kharif,235,Hectare,1035,Tonnes,4.404255319
Andhra Pradesh,VIZIANAGARAM,Dry chillies,2003-04,Rabi,2081,Hectare,2620,Tonnes,1.259010091
Andhra Pradesh,WARANGAL,Dry chillies,2001-02,Kharif,15720,Hectare,29506,Tonnes,1.87697201
Andhra Pradesh,WARANGAL,Dry chillies,2001-02,Rabi,11818,Hectare,26047,Tonnes,2.204010831
Andhra Pradesh,WARANGAL,Dry chillies,2002-03,Kharif,15045,Hectare,28841,Tonnes,1.916982386
Andhra Pradesh,WARANGAL,Dry chillies,2002-03,Rabi,9480,Hectare,18334,Tonnes,1.933966245
Andhra Pradesh,WARANGAL,Dry chillies,2003-04,Kharif,20737,Hectare,40126,Tonnes,1.934995419
Andhra Pradesh,WARANGAL,Dry chillies,2003-04,Rabi,8160,Hectare,18360,Tonnes,2.25
